EUR/USD,EUR/USD_EUR/USD_USD_CURRENCY
AUD/USD,AUD/USD_AUD/USD_USD_CURRENCY
USD/CAD,USD/CAD_USD/CAD_CAD_CURRENCY
GBP/USD,GBP/USD_GBP/USD_USD_CURRENCY
USD/CHF,USD/CHF_USD/CHF_CHF_CURRENCY
USD/JPY,USD/JPY_USD/JPY_JPY_CURRENCY
NZD/USD,NZD/USD_NZD/USD_USD_CURRENCY
6752/JPY,6752/JPY_Panasonic Corporation_JPY_EQUITY
7202/JPY,7202/JPY_Isuzu Motors Limited_JPY_EQUITY
7203/JPY,7203/JPY_Toyota Motor Corporation_JPY_EQUITY
ETH/USD,ETH/USD_Ethereum / USD_USD_CRYPTOCURRENCY
BTC/USD,BTC/USD_Bitcoin / USD_USD_CRYPTOCURRENCY
DXY/USD,DXY/USD_US Dollar Index_USD_INDEX
EU50/EUR,EU50/EUR_EU 50_EUR_INDEX
CN50/USD,CN50/USD_China A50_USD_INDEX
US100/USD,US100/USD_US Tech 100_USD_INDEX
US500/USD,US500/USD_US 500_USD_INDEX
US COTTON/USD,US COTTON/USD_Cotton_USD_COMMODITY
COFFEE ARABICA/USD,COFFEE ARABICA/USD_Coffee US_USD_COMMODITY
COPPER/USD,COPPER/USD_Copper_USD_COMMODITY
PLATINUM/USD,PLATINUM/USD_Platinum_USD_COMMODITY
OIL - CRUDE/USD,OIL - CRUDE/USD_Crude Oil_USD_COMMODITY
OIL - BRENT/USD,OIL - BRENT/USD_Brent Oil_USD_COMMODITY
NATURAL GAS/USD,NATURAL GAS/USD_Natural Gas_USD_COMMODITY
SILVER/USD,SILVER/USD_Silver_USD_COMMODITY
